name,position
Jan Hamáček,First deputy Prime Minister
Jan Hamáček,Minister of the Interior
Alena Schillerová,Deputy Prime Minister
Alena Schillerová,Minister of Finance
Karel Havlíček,Deputy Prime Minister
Karel Havlíček,Minister of Industry and Trade
Karel Havlíček,Minister of Transport
Jakub Kulhánek,Minister of Foreign Affairs
Lubomír Metnar,Minister of Defence
Marie Benešová,Minister of Justice
Richard Brabec,Minister for the Environment
Jana Maláčová,Minister of Labour and Social Affairs
Miroslav Toman,Minister of Agriculture
Adam Vojtěch,Minister of Health
Robert Plaga,"Minister for Education, Youth and Sports"
Klára Dostálová,Minister of Regional Development
Lubomír Zaorálek,Minister of Culture
